EquipID,Category,ParamPath,ParamValue,ValueType,LastUpdated,UpdatedBy,ChangeReason,UpdatedDateTime
0,data,data_dir,data,string,2025-10-27 00:00:00,SYSTEM,initial_config,
0,data,max_rows,100000,int,2025-12-11 00:00:00,COPILOT,config_cleanup_set_default,
0,data,min_train_samples,500,int,2026-01-02 00:00:00,COPILOT,Minimum samples for training - increased to 500 for robust statistical validity,
0,data,sampling_secs,auto,string,2026-01-21 00:00:00,COPILOT,v11.5.0_fix_upsample_bug_use_native_cadence,
0,data,score_csv,data/FD_FAN_BATCH_DATA.csv,string,2025-10-27 00:00:00,SYSTEM,initial_config,
0,data,score_days,30,float,2026-06-12 06:26:45,SYSTEM,service_trailing_score_window,
0,data,tag_columns,[],list,2025-10-27 00:00:00,SYSTEM,initial_config,
0,data,timestamp_col,EntryDateTime,string,2025-12-11 00:00:00,COPILOT,config_cleanup_set_default,
0,data,train_csv,data/FD_FAN_BASELINE_DATA.csv,string,2025-10-27 00:00:00,SYSTEM,initial_config,
0,maintenance,buffer_hours,24,int,2025-11-15 00:00:00,SYSTEM,Safety buffer for maintenance window,
0,maintenance,buffer_hours,24,int,2025-11-15 00:00:00,SYSTEM,Safety buffer for maintenance window,
0,maintenance,urgency_threshold,50.0,float,2025-11-15 00:00:00,SYSTEM,Urgency score threshold for required maintenance,
0,maintenance,urgency_threshold,50.0,float,2025-11-15 00:00:00,SYSTEM,Urgency score threshold for required maintenance,
0,report,enable,True,bool,2025-10-27 00:00:00,SYSTEM,initial_config,
0,report,fail_soft,True,bool,2025-10-27 00:00:00,SYSTEM,initial_config,
0,report,include_broken_pairs,True,bool,2025-10-27 00:00:00,SYSTEM,initial_config,
0,report,include_episode_bands,True,bool,2025-10-27 00:00:00,SYSTEM,initial_config,
0,report,max_points,10000,int,2025-10-27 00:00:00,SYSTEM,initial_config,
0,report,modules,"[""pca"", ""regimes"", ""anomaly"", ""forecast"", ""drift""]",list,2025-10-27 00:00:00,SYSTEM,initial_config,
0,report,theme,electric,string,2025-10-27 00:00:00,SYSTEM,initial_config,
0,runtime,baseline.max_points,100000,int,2025-12-16 00:00:00,OPTIMIZATION,baseline_buffer_max_rows,
