timestamp,scenario,operating_state,product,station_a_suction_pressure_bar,station_a_discharge_pressure_bar,station_b_suction_pressure_bar,station_b_discharge_pressure_bar,station_c_receipt_pressure_bar,flow_in_m3h,flow_mid_m3h,flow_out_m3h,pump_1_speed_rpm,pump_1_power_kw,pump_1_status,pump_2_speed_rpm,pump_2_power_kw,pump_2_status,mainline_valve_position_pct,delivery_valve_position_pct,product_temperature_c,product_density_kgm3,product_viscosity_cp,pressure_drop_ab_bar,pressure_drop_bc_bar,flow_imbalance_m3h,leak_active,leak_alarm,pump_trip_active,valve_closure_active,sensor_fault_active
2026-01-01T00:00:00Z,small_leak,NORMAL,crude,7.494,67.986,49.708,48.398,32.383,1197.305,1200.598,1199.519,1479.74,181.36,1,0.0,0.0,0,100.03,92.12,34.02,860.022,11.9779,18.284,15.959,0.0,0,0,0,0,0
2026-01-01T00:00:01Z,small_leak,NORMAL,crude,7.46,68.02,50.529,49.068,33.455,1200.958,1197.384,1199.438,1480.6,183.63,1,0.0,0.0,0,99.96,92.04,34.007,860.156,11.9666,17.563,15.603,0.001,0,0,0,0,0
2026-01-01T00:00:02Z,small_leak,NORMAL,crude,7.525,67.879,50.943,49.706,34.441,1201.58,1201.196,1197.806,1481.06,178.01,1,0.0,0.0,0,99.99,91.97,34.003,860.164,12.0191,16.874,15.253,0.003,0,0,0,0,0
2026-01-01T00:00:03Z,small_leak,NORMAL,crude,7.518,68.052,51.818,50.357,35.45,1199.162,1200.899,1199.55,1482.88,178.56,1,0.0,0.0,0,99.84,92.08,34.043,860.101,12.0251,16.216,14.908,0.008,0,0,0,0,0
2026-01-01T00:00:04Z,small_leak,NORMAL,crude,7.563,67.993,52.314,50.987,36.513,1197.417,1200.062,1200.457,1479.74,183.19,1,0.0,0.0,0,100.09,92.23,34.019,859.878,11.9831,15.588,14.568,0.014,0,0,0,0,0
2026-01-01T00:00:05Z,small_leak,NORMAL,crude,7.476,68.077,52.974,51.615,37.43,1198.724,1199.474,1196.688,1478.88,179.33,1,0.0,0.0,0,100.06,92.12,34.0,860.052,12.005,14.988,14.234,0.024,0,0,0,0,0
2026-01-01T00:00:06Z,small_leak,NORMAL,crude,7.556,68.073,53.607,52.118,38.337,1200.726,1202.213,1199.95,1482.59,179.96,1,0.0,0.0,0,100.24,92.01,33.985,859.774,11.9954,14.415,13.906,0.037,0,0,0,0,0
2026-01-01T00:00:07Z,small_leak,NORMAL,crude,7.573,68.068,54.184,52.566,39.191,1201.059,1199.017,1198.877,1480.32,186.22,1,0.0,0.0,0,99.84,91.96,34.041,859.911,11.989,13.868,13.584,0.052,0,0,0,0,0
2026-01-01T00:00:08Z,small_leak,NORMAL,crude,7.524,67.905,54.674,53.167,40.037,1200.086,1204.121,1200.514,1482.04,177.15,1,0.0,0.0,0,99.98,92.03,34.053,859.664,12.0297,13.345,13.268,0.071,0,0,0,0,0
2026-01-01T00:00:09Z,small_leak,NORMAL,crude,7.548,68.128,55.209,53.751,40.759,1197.859,1200.367,1199.668,1482.91,179.24,1,0.0,0.0,0,100.05,91.84,33.988,860.052,12.0247,12.846,12.957,0.093,0,0,0,0,0
