timestamp,scenario,operating_state,equipment_type,rpm,vibration_x_mms,vibration_y_mms,vibration_z_mms,bearing_de_temp_c,bearing_nde_temp_c,stator_winding_temp_c,power_kw,fault_active
2026-01-01T00:00:00Z,bearing_fault,NORMAL,motor,2949.9,1.183,1.609,0.835,44.98,41.7,65.07,79.73,0
2026-01-01T00:00:00.100000Z,bearing_fault,NORMAL,motor,2949.9,1.172,1.651,0.858,45.14,42.03,64.85,78.99,0
2026-01-01T00:00:00.200000Z,bearing_fault,NORMAL,motor,2950.3,1.254,1.59,0.795,45.12,41.72,64.94,80.49,0
2026-01-01T00:00:00.300000Z,bearing_fault,NORMAL,motor,2950.7,1.08,1.555,0.812,45.17,41.79,65.11,78.49,0
2026-01-01T00:00:00.400000Z,bearing_fault,NORMAL,motor,2949.1,1.051,1.352,0.844,45.15,41.77,65.17,79.0,0
2026-01-01T00:00:00.500000Z,bearing_fault,NORMAL,motor,2950.5,1.113,1.396,0.841,45.15,42.09,65.13,80.48,0
2026-01-01T00:00:00.600000Z,bearing_fault,NORMAL,motor,2950.4,1.117,1.31,0.825,44.98,42.49,64.84,78.9,0
2026-01-01T00:00:00.700000Z,bearing_fault,NORMAL,motor,2951.3,1.38,1.418,0.842,45.32,42.01,64.72,79.47,0
2026-01-01T00:00:00.800000Z,bearing_fault,NORMAL,motor,2951.6,1.132,1.417,0.813,44.97,42.17,65.12,82.32,0
2026-01-01T00:00:00.900000Z,bearing_fault,NORMAL,motor,2951.7,1.234,1.427,0.758,45.23,41.92,64.99,80.75,0
2026-01-01T00:00:01Z,bearing_fault,NORMAL,motor,2951.2,1.259,1.372,0.746,44.93,42.12,65.24,79.98,0
2026-01-01T00:00:01.100000Z,bearing_fault,NORMAL,motor,2951.9,1.274,1.724,0.845,45.1,41.84,65.18,80.38,0
2026-01-01T00:00:01.200000Z,bearing_fault,NORMAL,motor,2952.6,1.209,1.838,0.782,45.37,42.06,64.9,78.87,0
2026-01-01T00:00:01.300000Z,bearing_fault,NORMAL,motor,2952.1,1.305,1.714,0.834,44.58,42.19,65.11,79.45,0
2026-01-01T00:00:01.400000Z,bearing_fault,NORMAL,motor,2952.1,1.123,1.759,0.747,44.97,42.32,64.91,79.64,0
2026-01-01T00:00:01.500000Z,bearing_fault,NORMAL,motor,2952.6,0.981,1.539,0.74,45.24,42.05,65.46,80.28,0
2026-01-01T00:00:01.600000Z,bearing_fault,NORMAL,motor,2953.5,0.981,1.431,0.816,45.42,41.72,65.2,80.59,0
2026-01-01T00:00:01.700000Z,bearing_fault,NORMAL,motor,2953.8,1.214,1.39,0.774,44.82,42.1,64.96,82.02,0
2026-01-01T00:00:01.800000Z,bearing_fault,NORMAL,motor,2952.9,1.221,1.2,0.78,45.13,42.23,65.29,79.96,0
2026-01-01T00:00:01.900000Z,bearing_fault,NORMAL,motor,2952.8,1.283,1.419,0.825,44.94,42.29,65.02,80.7,0
2026-01-01T00:00:02Z,bearing_fault,NORMAL,motor,2954.2,1.338,1.442,0.908,45.13,42.01,65.02,81.48,0
2026-01-01T00:00:02.100000Z,bearing_fault,NORMAL,motor,2953.7,1.347,1.602,0.774,44.74,42.13,65.05,79.39,0
2026-01-01T00:00:02.200000Z,bearing_fault,NORMAL,motor,2954.3,1.349,1.457,0.826,45.05,41.78,65.09,79.95,0
2026-01-01T00:00:02.300000Z,bearing_fault,NORMAL,motor,2953.6,1.31,1.664,0.771,45.17,42.28,64.86,80.38,0
2026-01-01T00:00:02.400000Z,bearing_fault,NORMAL,motor,2954.1,1.438,1.457,0.835,45.04,42.06,65.38,79.99,0
2026-01-01T00:00:02.500000Z,bearing_fault,NORMAL,motor,2955.4,1.118,1.668,0.775,44.96,42.09,64.94,80.2,0
2026-01-01T00:00:02.600000Z,bearing_fault,NORMAL,motor,2953.3,1.323,1.57,0.887,44.91,42.14,65.63,79.13,0
2026-01-01T00:00:02.700000Z,bearing_fault,NORMAL,motor,2953.7,1.05,1.565,0.835,45.37,42.04,64.68,79.56,0
2026-01-01T00:00:02.800000Z,bearing_fault,NORMAL,motor,2955.2,1.158,1.248,0.798,45.39,42.52,65.11,80.31,0
2026-01-01T00:00:02.900000Z,bearing_fault,NORMAL,motor,2954.0,1.058,1.389,0.825,45.23,42.0,64.77,79.22,0
2026-01-01T00:00:03Z,bearing_fault,NORMAL,motor,2954.1,1.253,1.126,0.783,45.21,42.4,65.01,81.0,0
2026-01-01T00:00:03.100000Z,bearing_fault,NORMAL,motor,2954.6,1.163,1.3,0.876,45.32,42.2,65.67,79.97,0
2026-01-01T00:00:03.200000Z,bearing_fault,NORMAL,motor,2955.1,1.308,1.391,0.916,45.43,41.82,64.92,80.43,0
2026-01-01T00:00:03.300000Z,bearing_fault,NORMAL,motor,2955.2,1.161,1.257,0.705,45.12,42.09,65.07,79.23,0
2026-01-01T00:00:03.400000Z,bearing_fault,NORMAL,motor,2954.3,1.086,1.589,0.819,45.34,42.27,64.96,81.35,0
2026-01-01T00:00:03.500000Z,bearing_fault,NORMAL,motor,2954.8,1.192,1.563,0.771,44.71,42.14,65.05,79.64,0
2026-01-01T00:00:03.600000Z,bearing_fault,NORMAL,motor,2954.5,1.249,1.815,0.802,45.04,42.0,64.99,78.74,0
2026-01-01T00:00:03.700000Z,bearing_fault,NORMAL,motor,2954.8,1.168,1.817,0.847,45.36,41.98,65.13,78.86,0
2026-01-01T00:00:03.800000Z,bearing_fault,NORMAL,motor,2955.0,1.165,1.51,0.9,45.27,41.74,65.11,79.59,0
2026-01-01T00:00:03.900000Z,bearing_fault,NORMAL,motor,2954.8,1.151,1.556,0.698,44.93,42.28,65.26,81.9,0
2026-01-01T00:00:04Z,bearing_fault,NORMAL,motor,2955.6,0.906,1.52,0.704,45.48,42.18,64.77,82.01,0
2026-01-01T00:00:04.100000Z,bearing_fault,NORMAL,motor,2955.0,0.953,1.414,0.763,45.19,42.04,65.27,78.58,0
2026-01-01T00:00:04.200000Z,bearing_fault,NORMAL,motor,2954.8,1.37,1.274,0.811,45.21,42.0,65.13,80.1,0
2026-01-01T00:00:04.300000Z,bearing_fault,NORMAL,motor,2954.1,1.414,1.447,0.792,45.04,41.98,65.25,79.85,0
2026-01-01T00:00:04.400000Z,bearing_fault,NORMAL,motor,2954.7,1.258,1.475,0.794,45.33,42.1,65.17,80.67,0
2026-01-01T00:00:04.500000Z,bearing_fault,NORMAL,motor,2954.3,1.209,1.389,0.763,44.98,42.32,64.99,81.57,0
2026-01-01T00:00:04.600000Z,bearing_fault,NORMAL,motor,2955.3,1.291,1.402,0.781,45.17,41.85,64.95,80.29,0
2026-01-01T00:00:04.700000Z,bearing_fault,NORMAL,motor,2953.8,1.181,1.539,0.889,45.16,41.98,64.93,80.95,0
2026-01-01T00:00:04.800000Z,bearing_fault,NORMAL,motor,2953.6,1.26,1.716,0.837,45.47,42.04,65.23,79.21,0
2026-01-01T00:00:04.900000Z,bearing_fault,NORMAL,motor,2953.6,1.282,1.715,0.8,44.96,42.27,64.87,79.08,0
2026-01-01T00:00:05Z,bearing_fault,NORMAL,motor,2953.3,1.148,1.374,0.818,45.23,42.04,65.21,80.61,0
2026-01-01T00:00:05.100000Z,bearing_fault,NORMAL,motor,2953.2,1.038,1.587,0.724,45.14,42.04,65.01,80.21,0
2026-01-01T00:00:05.200000Z,bearing_fault,NORMAL,motor,2953.3,1.225,1.466,0.784,44.96,42.31,65.11,81.45,0
2026-01-01T00:00:05.300000Z,bearing_fault,NORMAL,motor,2952.7,1.145,1.379,0.796,45.21,41.83,65.16,80.65,0
2026-01-01T00:00:05.400000Z,bearing_fault,NORMAL,motor,2953.5,1.413,1.325,0.798,45.22,42.56,64.65,80.49,0
2026-01-01T00:00:05.500000Z,bearing_fault,NORMAL,motor,2952.0,0.98,1.165,0.731,45.43,42.0,64.95,78.84,0
2026-01-01T00:00:05.600000Z,bearing_fault,NORMAL,motor,2952.8,1.167,1.545,0.75,45.07,42.2,65.0,81.42,0
2026-01-01T00:00:05.700000Z,bearing_fault,NORMAL,motor,2952.3,1.175,1.427,0.771,45.37,42.26,64.98,80.87,0
2026-01-01T00:00:05.800000Z,bearing_fault,NORMAL,motor,2951.8,1.275,1.575,0.876,45.21,42.11,64.79,80.69,0
2026-01-01T00:00:05.900000Z,bearing_fault,NORMAL,motor,2951.6,1.292,1.425,0.852,44.97,42.03,65.21,78.67,0
2026-01-01T00:00:06Z,bearing_fault,NORMAL,motor,2951.6,1.219,1.543,0.867,45.54,41.8,64.71,80.81,0
2026-01-01T00:00:06.100000Z,bearing_fault,NORMAL,motor,2950.7,1.123,1.645,0.835,45.2,42.21,64.84,81.29,0
2026-01-01T00:00:06.200000Z,bearing_fault,NORMAL,motor,2950.9,1.157,1.535,0.805,45.21,42.16,64.8,80.8,0
2026-01-01T00:00:06.300000Z,bearing_fault,NORMAL,motor,2951.6,1.129,1.591,0.842,45.43,42.26,65.04,80.86,0
2026-01-01T00:00:06.400000Z,bearing_fault,NORMAL,motor,2950.7,1.014,1.446,0.706,45.25,42.28,65.25,80.15,0
2026-01-01T00:00:06.500000Z,bearing_fault,NORMAL,motor,2950.9,1.142,1.282,0.729,45.06,41.93,65.13,79.79,0
2026-01-01T00:00:06.600000Z,bearing_fault,NORMAL,motor,2950.5,1.196,1.461,0.853,45.13,42.15,64.89,78.38,0
2026-01-01T00:00:06.700000Z,bearing_fault,NORMAL,motor,2950.3,1.357,1.367,0.775,45.48,41.74,65.04,80.14,0
2026-01-01T00:00:06.800000Z,bearing_fault,NORMAL,motor,2949.4,1.416,1.511,0.787,45.25,42.14,64.9,78.69,0
2026-01-01T00:00:06.900000Z,bearing_fault,NORMAL,motor,2950.1,1.398,1.563,0.745,45.69,42.61,65.04,79.1,0
2026-01-01T00:00:07Z,bearing_fault,NORMAL,motor,2948.8,1.33,1.465,0.798,45.49,41.92,65.4,81.57,0
2026-01-01T00:00:07.100000Z,bearing_fault,NORMAL,motor,2948.4,1.116,1.587,0.748,45.23,41.71,64.95,81.8,0
2026-01-01T00:00:07.200000Z,bearing_fault,NORMAL,motor,2948.2,1.184,1.494,0.832,45.24,42.61,65.04,79.63,0
